id,raw_code,comment,label,generated_comment
54532,"void insertFunction2(ByteBuffer bb){
  int baseSec=(int)(windowId >> 32);
  bb.putInt(baseSec);
  Integer operId=operatorId;
  for (int i=0; i < 3; i++) {
    byte num=(byte)(operId >> 8 * (2 - i));
    bb.put(num);
  }
  bb.putShort((short)(windowId & 0xffff));
  for (int i=0; i < 3; i++) {
    byte num=(byte)(tupleId >> 8 * (2 - i));
    bb.put(num);
  }
}",4b basesec | 3b operatorid | 2b windowid | 3b tupleid,what,The method `insertFunction2` writes data into a `ByteBuffer` in a specific format. It first extracts and writes the upper 32 bits of
81747,"String format(Object obj,StringBuffer toAppendTo) throws IllegalArgumentException {
  Date source=null;
  if (obj instanceof Date) {
    source=(Date)obj;
  }
 else   if (obj instanceof String) {
    try {
      source=parse((String)obj);
    }
 catch (    ParseException pe) {
      throw new RuntimeException(pe.toString());
    }
  }
  if (source == null) {
    throw new IllegalArgumentException((obj == null) ? ""null"" : obj.toString());
  }
  return format(source,toAppendTo);
}",format a given object .,what,This method formats a given object into a date string representation. It accepts an object which can either be a `Date` or a `String`. If
85288,"public ByteMatrix encode(String contents,int width,int height,Map<EncodeHintType,Object> hints) throws WriterException {
  if (contents == null || contents.length() == 0) {
    throw new IllegalArgumentException(""Found empty contents"");
  }
  if (width < 0 || height < 0) {
    throw new IllegalArgumentException(""Requested dimensions are too small: "" + width + 'x'+ height);
  }
  ErrorCorrectionLevel errorCorrectionLevel=ErrorCorrectionLevel.L;
  if (hints != null) {
    ErrorCorrectionLevel requestedECLevel=(ErrorCorrectionLevel)hints.get(EncodeHintType.ERROR_CORRECTION);
    if (requestedECLevel != null) {
      errorCorrectionLevel=requestedECLevel;
    }
  }
  QRCode code=new QRCode();
  Encoder.encode(contents,errorCorrectionLevel,hints,code);
  return renderResult(code,width,height);
}",encode a string into a qr code with dimensions width x height .,what,This method encodes the provided string `contents` into a QR code represented as a `ByteMatrix`. It accepts desired dimensions for the QR code (`
41569,"void decodeAttributeBody(byte[] attributeValue,char offset,char length) throws StunException {
  realm=new byte[length];
  System.arraycopy(attributeValue,offset,realm,0,length);
}",copies the value of the realm attribute from the specified attributevalue .,what,"This method extracts a specific portion of a byte array representing the ""realm"" attribute in a STUN (Session Traversal Utilities for NAT) message."
67275,"public int next(){
  return mix(gen.getAndIncrement());
}",produce the next identifier .,what,Generates the next value in the sequence by incrementing an internal counter and then mixing its bits to produce the final output.
27368,"public static IKeyBuilder newInstance(int capacity,CollatorEnum collatorChoice,Locale locale,Object strength,DecompositionEnum mode){
  if (collatorChoice == CollatorEnum.ASCII) {
    return new KeyBuilder(capacity);
  }
  if (locale == null) {
    locale=Locale.getDefault();
    if (log.isInfoEnabled())     log.info(""Using default locale: "" + locale.getDisplayName());
  }
  final boolean icu=collatorChoice == CollatorEnum.ICU;
  if (icu && !DefaultKeyBuilderFactory.isICUAvailable()) {
    throw new UnsupportedOperationException(DefaultKeyBuilderFactory.ICU_NOT_AVAILABLE);
  }
  final byte[] buf=createBuffer(capacity);
  final int len=0;
switch (collatorChoice) {
case ICU:
    return new KeyBuilder(new ICUSortKeyGenerator(locale,strength,mode),len,buf);
case JDK:
  return new KeyBuilder(new JDKSortKeyGenerator(locale,strength,mode),len,buf);
default :
throw new UnsupportedOperationException(""Collator not supported: "" + collatorChoice);
}
}",create a new instance that optionally supports unicode sort keys .,what,"This method creates a new instance of `IKeyBuilder` based on the specified capacity, collator choice, locale, strength, and decomposition mode."
44318,"private void collectText(){
  if (textNodeCount > 1) {
    firstTextNode.setText(textBuffer.toString());
  }
  textNodeCount=0;
}",this method breaks concatenation mode .,what,"combines text from multiple nodes into the first text node if there are multiple text nodes present, and then resets the count of text nodes."
28487,"public void add(int position,T item){
  mData.add(position,item);
  notifyItemInserted(position);
}",insert a item associated with the specified position of adapter,what,This method inserts an item at a specified position in the `mData` list and notifies any registered observers that an item has been inserted at that position
73636,"private void consumeNestedScroll(int dxUnconsumed,int dyUnconsumed,int dxFinalUnconsumed,int dyFinalUnconsumed){
  if (mOverScrollEffect == OverScrollEffect.BOUNCE && dyFinalUnconsumed != 0) {
    mUnconsumedOverScrollOffset+=-dyFinalUnconsumed;
    int maxOffset=mOverScrollOffsetLimit;
    if (mUnconsumedOverScrollOffset > 0) {
      mUnconsumedOverScrollOffset=Math.min(maxOffset,mUnconsumedOverScrollOffset);
    }
 else     if (mUnconsumedOverScrollOffset < 0) {
      mUnconsumedOverScrollOffset=Math.max(-maxOffset,mUnconsumedOverScrollOffset);
    }
    setScrollingOffset(getUnconsumedScrollingOffset());
  }
  pullEdgeEffects(dxUnconsumed,dyUnconsumed);
}",consume the final unconsumed nested scroll after all behaviors done .,what,"The method `consumeNestedScroll` processes the unconsumed portions of a nested scroll operation, specifically adjusting for over-scrolling behavior and updating edge effects"
27540,"public RootBlockView(final boolean rootBlock0,final ByteBuffer buf,final ChecksumUtility checker) throws RootBlockException {
  if (buf == null)   throw new IllegalArgumentException();
  if (buf.remaining() != SIZEOF_ROOT_BLOCK) {
    throw new IllegalArgumentException(""Expecting "" + SIZEOF_ROOT_BLOCK + "" remaining, actual=""+ buf.remaining());
  }
  this.buf=buf.asReadOnlyBuffer();
  this.rootBlock0=rootBlock0;
switch (getStoreType()) {
case RW:
{
      am=new RWAddressManager(null);
      break;
    }
case WORM:
{
    final int offsetBits=getOffsetBits();
    am=new WormAddressManager(offsetBits);
    break;
  }
default :
throw new RootBlockException(""Unknown storeType="" + getStoreType());
}
if (checker == null) {
log.warn(""Checksum will not be validated"");
}
this.checker=checker;
valid();
}",create a new read - only view from the supplied buffer .,what,"Initializes a `RootBlockView` object by setting up the buffer, determining the type of store, and configuring the address manager based on the store"
69757,"@Override public void visitVertex(StreetRouter.State state){
  Integer edgeIdx=state.backEdge;
  if (!(edgeIdx == null || edgeIdx == -1)) {
    EdgeStore.Edge edge=edgeStore.getCursor(edgeIdx);
    GeoJsonFeature feature=new GeoJsonFeature(edge.getGeometry());
    feature.addProperty(""weight"",state.weight);
    feature.addProperty(""mode"",state.streetMode);
    feature.addProperty(""backEdge"",state.backEdge);
    features.add(feature);
  }
}",saves current state geometry mode and weight as geojson feature properties in list of features .,what,"This method processes a vertex during a graph traversal, specifically for routing on a street network. It checks if the vertex (represented by `state`) has"
61747,"public boolean doTransaction(DB db,Object threadstate) throws WorkloadException {
  boolean ret=true;
  long st=System.nanoTime();
  String op=operationchooser.nextString();
  if (op.compareTo(""READ"") == 0) {
    ret=doTransactionRead(db);
  }
 else   if (op.compareTo(""UPDATE"") == 0) {
    ret=doTransactionUpdate(db);
  }
 else   if (op.compareTo(""INSERT"") == 0) {
    ret=doTransactionInsert(db);
  }
 else   if (op.compareTo(""SCAN"") == 0) {
    ret=doTransactionScan(db);
  }
 else {
    ret=doTransactionReadModifyWrite(db);
  }
  long en=System.nanoTime();
  _measurements.measure(_operations.get(op),(int)((en - st) / 1000));
  if (ret)   _measurements.reportReturnCode(_operations.get(op),-1);
 else {
    _measurements.reportReturnCode(_operations.get(op),0);
  }
  actualopcount.addAndGet(1);
  return ret;
}",do one transaction operation .,what,"This method `doTransaction` performs a database transaction based on a randomly chosen operation type. It measures the execution time of the transaction, updates performance metrics"
72739,"public boolean shouldInclude(final Path path){
  return includeMatchers.size() == 0 || matches(path,includeMatchers);
}",check whether a path should be included .,what,This method determines whether a given `Path` should be included based on the specified matchers. It returns `true` if there are no matchers
12223,"public final void removeAll(){
  actionList.clear();
  constraintsList.clear();
  needSorting=true;
}",removes all children actions ( separators as well ) from the group .,what,"This method clears all elements from both `actionList` and `constraintsList`. It also sets the `needSorting` flag to `true`, indicating"
13298,"private boolean scanExpr(SymbolTable symbolTable,Tokens tokens,String data,int currentOffset,int endOffset) throws XNIException {
  int ch;
  int openParen=0;
  int closeParen=0;
  int nameOffset, dataOffset;
  boolean isQName=false;
  String name=null;
  String prefix=null;
  String schemeData=null;
  StringBuffer schemeDataBuff=new StringBuffer();
  while (true) {
    if (currentOffset == endOffset) {
      break;
    }
    ch=data.charAt(currentOffset);
    while (ch == ' ' || ch == 0x0A || ch == 0x09 || ch == 0x0D) {
      if (++currentOffset == endOffset) {
        break;
      }
      ch=data.charAt(currentOffset);
    }
    if (currentOffset == endOffset) {
      break;
    }
    byte chartype=(ch >= 0x80) ? CHARTYPE_NONASCII : fASCIICharMap[ch];
switch (chartype) {
case CHARTYPE_OPEN_PAREN:
      addToken(tokens,Tokens.XPTRTOKEN_OPEN_PAREN);
    openParen++;
  ++currentOffset;
break;
case CHARTYPE_CLOSE_PAREN:
addToken(tokens,Tokens.XPTRTOKEN_CLOSE_PAREN);
closeParen++;
++currentOffset;
break;
case CHARTYPE_CARRET:
case CHARTYPE_COLON:
case CHARTYPE_DIGIT:
case CHARTYPE_EQUAL:
case CHARTYPE_LETTER:
case CHARTYPE_MINUS:
case CHARTYPE_NONASCII:
case CHARTYPE_OTHER:
case CHARTYPE_PERIOD:
case CHARTYPE_SLASH:
case CHARTYPE_UNDERSCORE:
case CHARTYPE_WHITESPACE:
if (openParen == 0) {
nameOffset=currentOffset;
currentOffset=scanNCName(data,endOffset,currentOffset);
if (currentOffset == nameOffset) {
reportError(""InvalidShortHandPointer"",new Object[]{data});
return false;
}
if (currentOffset < endOffset) {
ch=data.charAt(currentOffset);
}
 else {
ch=-1;
}
name=symbolTable.addSymbol(data.substring(nameOffset,currentOffset));
prefix=XMLSymbols.EMPTY_STRING;
if (ch == ':') {
if (++currentOffset == endOffset) {
return false;
}
ch=data.charAt(currentOffset);
prefix=name;
nameOffset=currentOffset;
currentOffset=scanNCName(data,endOffset,currentOffset);
if (currentOffset == nameOffset) {
return false;
}
if (currentOffset < endOffset) {
ch=data.charAt(currentOffset);
}
 else {
ch=-1;
}
isQName=true;
name=symbolTable.addSymbol(data.substring(nameOffset,currentOffset));
}
if (currentOffset != endOffset) {
addToken(tokens,Tokens.XPTRTOKEN_SCHEMENAME);
tokens.addToken(prefix);
tokens.addToken(name);
isQName=false;
}
 else if (currentOffset == endOffset) {
addToken(tokens,Tokens.XPTRTOKEN_SHORTHAND);
tokens.addToken(name);
isQName=false;
}
closeParen=0;
break;
}
 else if (openParen > 0 && closeParen == 0 && name != null) {
dataOffset=currentOffset;
currentOffset=scanData(data,schemeDataBuff,endOffset,currentOffset);
if (currentOffset == dataOffset) {
reportError(""InvalidSchemeDataInXPointer"",new Object[]{data});
return false;
}
if (currentOffset < endOffset) {
ch=data.charAt(currentOffset);
}
 else {
ch=-1;
}
schemeData=symbolTable.addSymbol(schemeDataBuff.toString());
addToken(tokens,Tokens.XPTRTOKEN_SCHEMEDATA);
tokens.addToken(schemeData);
openParen=0;
schemeDataBuff.delete(0,schemeDataBuff.length());
}
 else {
return false;
}
}
}
return true;
}",scans the xpointer expression,what,"The `scanExpr` method is designed to parse and tokenize an expression from a given string `data`, starting at `currentOffset` and ending at"
74493,"protected void newFastClockMinute(){
  for (int i=delayedTrains.size() - 1; i >= 0; i--) {
    ActiveTrain at=delayedTrains.get(i);
    if ((!at.getStarted()) && at.getDelayedStart() != ActiveTrain.NODELAY) {
      if (at.getDelayedStart() == ActiveTrain.TIMEDDELAY) {
        if (isFastClockTimeGE(at.getDepartureTimeHr(),at.getDepartureTimeMin())) {
          at.setStarted();
          delayedTrains.remove(i);
          if (_AutoAllocate) {
            autoAllocate.scanAllocationRequestList(allocationRequests);
          }
        }
      }
    }
 else     if (at.getStarted() && at.getStatus() == ActiveTrain.READY && at.reachedRestartPoint()) {
      if (isFastClockTimeGE(at.getRestartDepartHr(),at.getRestartDepartMin())) {
        at.restart();
        delayedTrains.remove(i);
        if (_AutoAllocate) {
          autoAllocate.scanAllocationRequestList(allocationRequests);
        }
      }
    }
  }
}",handle activity that is triggered by the fast clock,what,"This method processes a list of delayed trains, checking conditions to either start or restart them based on the current fast clock time. For each train in the"
38671,"public static void saveXStream(File saveTo,Object model,Instances header) throws Exception {
  Vector<Object> v=new Vector<Object>();
  v.add(model);
  if (header != null) {
    v.add(header);
  }
  v.trimToSize();
  XStream.write(saveTo.getAbsolutePath(),v);
}",save a model in xstream deep object serialized xml form .,what,"This method serializes an object model and an optional `Instances` header into XML format using XStream, and saves it to a specified file. The"
101,"public JsonArray add(String value){
  values.add(Json.value(value));
  return this;
}",appends the json representation of the specified string to the end of this array .,what,This method adds a JSON-encoded string value to a `JsonArray`. It first converts the provided string `value` into a JSON value using `Json
79737,"public static void mergeNodeChildren(TreeNode node){
  DefaultMutableTreeNode masterNode=(DefaultMutableTreeNode)node;
  for (int i=0; i < masterNode.getChildCount(); i++) {
    DefaultMutableTreeNode child=(DefaultMutableTreeNode)masterNode.getChildAt(i);
    if (!child.isLeaf()) {
      MergeHelpUtilities.mergeNodeChildren(DEFAULT_MERGE_TYPE,child);
    }
  }
}",merge node children .,what,"recursively merges the children of a given node using a specified merge type, provided the children are not leaves."
46680,"public File createNewFolder(File containingDir) throws IOException {
  if (containingDir == null) {
    throw new IOException(""Containing directory is null:"");
  }
  File newFolder=createFileObject(containingDir,newFolderString);
  int i=2;
  while (newFolder.exists() && i < 100) {
    newFolder=createFileObject(containingDir,MessageFormat.format(newFolderNextString,new Integer(i)));
    i++;
  }
  if (newFolder.exists()) {
    throw new IOException(""Directory already exists:"" + newFolder.getAbsolutePath());
  }
 else {
    newFolder.mkdirs();
  }
  return newFolder;
}",creates a new folder with a default folder name .,what,This method attempts to create a new folder within a specified containing directory. It first checks if the containing directory is null and throws an IOException if it is
46509,"public boolean isDefined(Object attrName){
  return table.containsKey(attrName);
}",tells whether a given attribute is defined .,what,Checks if the specified attribute name exists in the table.
36838,"protected static boolean checkRawModulesTables(final CConnection connection,final String databaseName,final int rawModuleId){
  Preconditions.checkNotNull(connection,""IE02261: Connection argument can not be null"");
  Preconditions.checkNotNull(databaseName,""IE02262: Database name argument can not be null"");
  Preconditions.checkArgument(rawModuleId > 0,""Raw module id %s must be a positive integer"",rawModuleId);
  final ImmutableSet<String> rawTableNames=ImmutableSet.of(String.format(CTableNames.RAW_ADDRESS_COMMENTS_TABLE,rawModuleId),String.format(CTableNames.RAW_ADDRESS_REFERENCES_TABLE,rawModuleId),String.format(CTableNames.RAW_BASE_TYPES,rawModuleId),String.format(CTableNames.RAW_BASIC_BLOCK_INSTRUCTIONS_TABLE,rawModuleId),String.format(CTableNames.RAW_BASIC_BLOCKS_TABLE,rawModuleId),String.format(CTableNames.RAW_CALLGRAPH_TABLE,rawModuleId),String.format(CTableNames.RAW_CONTROL_FLOW_GRAPHS_TABLE,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_NODES_TABLE,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_SUBSTITUTIONS_TABLE,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_TREE_NODES_TABLE,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_TREES_TABLE,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_TYPES_TABLE,rawModuleId),String.format(CTableNames.RAW_FUNCTIONS_TABLE,rawModuleId),String.format(CTableNames.RAW_INSTRUCTIONS_TABLE,rawModuleId),String.format(CTableNames.RAW_OPERANDS_TABLE,rawModuleId),String.format(CTableNames.RAW_SECTIONS,rawModuleId),String.format(CTableNames.RAW_EXPRESSION_TYPE_INSTANCES,rawModuleId),String.format(CTableNames.RAW_TYPE_INSTACES,rawModuleId),String.format(CTableNames.RAW_TYPES,rawModuleId));
  final Pair<CConnection,String> cacheKey=new Pair<>(connection,databaseName);
  if (PostgreSQLDatabaseFunctions.queryCache(cacheKey,rawTableNames)) {
    return true;
  }
 else {
    if (!PostgreSQLDatabaseFunctions.fillCache(cacheKey)) {
      return false;
    }
    return PostgreSQLDatabaseFunctions.queryCache(cacheKey,rawTableNames);
  }
}",checks the existence of all necessary raw module tables .,what,"This method checks if all necessary raw module-related tables exist in the database for a given raw module ID. It first validates the input parameters, ensuring the"
82892,"public Result result(SqlNode node,Collection<Clause> clauses,RelNode rel){
  final String alias2=SqlValidatorUtil.getAlias(node,-1);
  final String alias3=alias2 != null ? alias2 : ""t"";
  final String alias4=SqlValidatorUtil.uniquify(alias3,aliasSet,SqlValidatorUtil.EXPR_SUGGESTER);
  final String alias5=alias2 == null || !alias2.equals(alias4) ? alias4 : null;
  return new Result(node,clauses,alias5,Collections.singletonList(Pair.of(alias4,rel.getRowType())));
}",creates a result based on a single relational expression .,what,"Generates a result object for a given SQL node, handling aliasing and clause collection. This method first determines an appropriate alias for the node, ensures"
40515,"protected int unicodeEscapeLexer(int c) throws IOException {
  int ret=0;
  c=in.read();
  code.clear();
  try {
    for (int i=0; i < 4; i++) {
      c=in.read();
      if (isEndOfFile(c) || isEndOfLine(c)) {
        throw new NumberFormatException(""number too short"");
      }
      code.append((char)c);
    }
    ret=Integer.parseInt(code.toString(),16);
  }
 catch (  NumberFormatException e) {
    throw new IOException(""(line "" + getLineNumber() + "") Wrong unicode escape sequence found '""+ code.toString()+ ""'""+ e.toString());
  }
  return ret;
}",decodes unicode escapes .,what,This method reads and decodes a Unicode escape sequence from an input stream. It expects the sequence to consist of exactly four hexadecimal digits following an initial read
30245,"public static Colour attemptToGetAsColour(String part){
  Colour col=null;
  try {
    col=Colour.valueOf(part.toUpperCase());
  }
 catch (  Exception e) {
  }
  return col;
}",attempt to parse string as a colour,what,"This method attempts to convert a string to a `Colour` enum value. It takes a string `part`, converts it to uppercase, and tries to"
42926,"public RotationMatrixBuilder withThetas(double theta){
  for (  Plane plane : planes) {
    plane.setTheta(theta);
  }
  return this;
}","sets the rotation angle , in radians , of all 2d rotation planes added to this builder .",what,"This method sets a uniform rotation angle, `theta`, for all `Plane` objects stored in the `planes` collection. It then returns the `"
34724,"public boolean isTabAssociatedWithNonDestroyedActivity(boolean isIncognito,int tabId){
  List<WeakReference<Activity>> activities=ApplicationStatus.getRunningActivities();
  for (  WeakReference<Activity> ref : activities) {
    Activity activity=ref.get();
    if (activity != null && isValidActivity(isIncognito,activity.getIntent()) && getTabIdFromIntent(activity.getIntent()) == tabId && !isActivityDestroyed(activity)) {
      return true;
    }
  }
  return false;
}",check if the tab is associated with an activity that hasn ' t been destroyed .,what,"This method checks if a tab, identified by `tabId`, is associated with any currently running activity that has not been destroyed. It considers whether the"
15520,"public void clear(FacesContext facesContext,Map<String,Object> viewMap){
  if (LOGGER.isLoggable(Level.FINEST)) {
    LOGGER.log(Level.FINEST,""Clearing @ViewScoped CDI beans for given view map: {0}"");
  }
  Map<String,ViewScopeContextObject> contextMap=getContextMap(facesContext,viewMap);
  if (contextMap != null) {
    destroyBeans(viewMap,contextMap);
  }
}",clear the given view map .,what,The method `clear` is designed to remove and clean up `@ViewScoped CDI beans` associated with a specific view map in a JSF
48480,"public static int normalize(char[] src,int srcStart,int srcLimit,char[] dest,int destStart,int destLimit,Mode mode,int options){
  int length=mode.normalize(src,srcStart,srcLimit,dest,destStart,destLimit,options);
  if (length <= (destLimit - destStart)) {
    return length;
  }
 else {
    throw new IndexOutOfBoundsException(Integer.toString(length));
  }
}",normalize a string .,what,"Normalizes a segment of the source character array using the specified normalization mode and options, and stores the result in the destination character array. If the normalized"
5550,"public static IMultiPoint[] randomPoints(int n,int d,int scale){
  IMultiPoint points[]=new IMultiPoint[n];
  for (int i=0; i < n; i++) {
    StringBuilder sb=new StringBuilder();
    for (int j=0; j < d; j++) {
      sb.append(rGen.nextDouble() * scale);
      if (j < d - 1) {
        sb.append("","");
      }
    }
    points[i]=new Hyperpoint(sb.toString());
  }
  return points;
}",generate array of n d - dimensional points whose coordinates are values in the range 0 . .,what,"The `randomPoints` method generates an array of `IMultiPoint` objects, each representing a point in a `d`-dimensional space"
31239,"static float rotateY(float pX,float pY,float cX,float cY,float angleInDegrees){
  double angle=Math.toRadians(angleInDegrees);
  return (float)(Math.sin(angle) * (pX - cX) + Math.cos(angle) * (pY - cY) + cY);
}",rotate point p around center point c .,what,Calculates the y-coordinate of a point after it has been rotated around a specified center point. The rotation is defined by an angle in degrees.
8878,"private static String reportListContents(Collection<ProcessErrorStateInfo> errList){
  if (errList == null)   return null;
  StringBuilder builder=new StringBuilder();
  Iterator<ProcessErrorStateInfo> iter=errList.iterator();
  while (iter.hasNext()) {
    ProcessErrorStateInfo entry=iter.next();
    String condition;
switch (entry.condition) {
case ActivityManager.ProcessErrorStateInfo.CRASHED:
      condition=""a CRASH"";
    break;
case ActivityManager.ProcessErrorStateInfo.NOT_RESPONDING:
  condition=""an ANR"";
break;
default :
condition=""an unknown error"";
break;
}
builder.append(String.format(""Process %s encountered %s (%s)"",entry.processName,condition,entry.shortMsg));
if (entry.condition == ActivityManager.ProcessErrorStateInfo.CRASHED) {
builder.append(String.format("" with stack trace:\n%s\n"",entry.stackTrace));
}
builder.append(""\n"");
}
return builder.toString();
}",this helper function will dump the actual error reports .,what,"The method `reportListContents` generates a detailed report string for a collection of `ProcessErrorStateInfo` objects, which represent error states of processes"
77796,"public byte[] readRawBytes(final int size) throws IOException {
  if (size < 0) {
    throw InvalidProtocolBufferNanoException.negativeSize();
  }
  if (bufferPos + size > currentLimit) {
    skipRawBytes(currentLimit - bufferPos);
    throw InvalidProtocolBufferNanoException.truncatedMessage();
  }
  if (size <= bufferSize - bufferPos) {
    final byte[] bytes=new byte[size];
    System.arraycopy(buffer,bufferPos,bytes,0,size);
    bufferPos+=size;
    return bytes;
  }
 else {
    throw InvalidProtocolBufferNanoException.truncatedMessage();
  }
}",read a fixed size of bytes from the input .,what,"This method reads a specified number of bytes (`size`) from a buffer and returns them as a byte array. If the requested size is negative, it"
44215,"protected int readFully(InputStream in,byte buffer[]) throws java.io.IOException {
  for (int i=0; i < buffer.length; i++) {
    int q=in.read();
    if (q == -1)     return i;
    buffer[i]=(byte)q;
  }
  return buffer.length;
}",this method works around the bizarre semantics of bufferedinputstream ' s read method .,what,This method attempts to read bytes from an `InputStream` into a provided byte array until the array is fully populated or the end of the stream is reached
68478,"@Override public void stop(Runnable arg0){
  stop();
  arg0.run();
}",smart lifecycle stop implementation .,what,Stops the current process and then executes the provided Runnable task.
58174,"private void initialize(URI p_other){
  m_scheme=p_other.getScheme();
  m_userinfo=p_other.getUserinfo();
  m_host=p_other.getHost();
  m_port=p_other.getPort();
  m_path=p_other.getPath();
  m_queryString=p_other.getQueryString();
  m_fragment=p_other.getFragment();
}",initialize all fields of this uri from another uri .,what,"This method initializes the current object by copying the components of another URI object (`p_other`). It sets the scheme, user information, host, port,"
32415,"private void checkPendingCustomMessages(){
  if (joiningNodes.isEmpty() && isLocalNodeCoordinator()) {
    TcpDiscoveryCustomEventMessage msg;
    while ((msg=pendingCustomMsgs.poll()) != null) {
      processCustomMessage(msg);
      if (msg.verified())       msgHist.add(msg);
    }
  }
}",checks and flushes custom event messages if no nodes are attempting to join the grid .,what,processes pending custom messages if there are no joining nodes and the local node is the coordinator.
